pr_author_login,pr_author_name,pr_notice_time,pr_review_time,pr_changed_files,pr_LOC,pr_reviewers,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_create_time,repo_external_contribution,repo_team_size,user_followers,user_dev_time,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
enjoy-binbin,Binbin,2,1,5,51,"{'Binbin', 'Viktor Söderqvist', 'Yossi Gottlieb', 'Oran Agra'}",5,6,6,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
oranagra,Oran Agra,4,0,4,34,"{'Viktor Söderqvist', 'Unknown', 'Oran Agra', 'Madelyn Olson', 'Yossi Gottlieb'}",5,10,18,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
ShooterIT,Wang Yuan,0,0,1,9,"{'Oran Agra', 'Yossi Gottlieb'}",0,0,1,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
oranagra,Oran Agra,0,0,1,1,"{'Viktor Söderqvist', 'Yossi Gottlieb'}",0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
yossigo,Yossi Gottlieb,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
yossigo,Yossi Gottlieb,2,0,5,122,"{'Unknown', 'Yossi Gottlieb', 'Oran Agra'}",3,13,4,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
tsonglew,Tsonglew,0,0,1,4,"{'Oran Agra', 'Unknown'}",1,1,2,50279,4511,0.6185697153316922,186,70,2141,5.01,1.0,0,0,0.9980039920159681
enjoy-binbin,Binbin,0,0,2,47,"{'Binbin', 'Unknown', 'Oran Agra'}",3,9,4,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
enjoy-binbin,Binbin,1,0,1,31,"{'Binbin', 'Oran Agra'}",7,11,8,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
enjoy-binbin,Binbin,0,2,2,79,{'Oran Agra'},3,0,4,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
ShooterIT,Wang Yuan,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
zeekling,ZEEKLING,3,16,1,2,"{'Madelyn Olson', 'Unknown'}",0,0,1,50279,4511,0.6185697153316922,186,13,1958,8.01,5.0,0,1,0.37453183520599254
Super-long,ZhaolongLi,2,2,1,10,"{'Unknown', 'ZhaolongLi', 'Oran Agra'}",4,15,5,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
czyjerry,Jerry Chan 29,0,0,1,4,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,13,2276,3.01,1.0,0,1,0.33222591362126247
yossigo,Yossi Gottlieb,2,0,2,27,"{'Oran Agra', 'Yossi Gottlieb'}",2,5,3,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
yossigo,Yossi Gottlieb,0,0,8,50,"{'Madelyn Olson', 'Oran Agra'}",0,0,1,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
oranagra,Oran Agra,0,0,1,27,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,2,10,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
huangzhw,Huang Zhw,0,0,1,1,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
Super-long,ZhaolongLi,0,0,1,4,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
oranagra,Oran Agra,0,0,1,86,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
proggga,Mikhail Fesenko,1,11,2,33,"{'Viktor Söderqvist', 'Oran Agra', 'Wang Yuan'}",2,4,3,50279,4511,0.6185697153316922,186,21,2275,17.009999999999998,2.0,0,0,0.9994121105232218
proggga,Mikhail Fesenko,0,6,1,8,"{'Oran Agra', 'Wang Yuan'}",3,3,4,50279,4511,0.6185697153316922,186,21,2275,17.009999999999998,2.0,0,0,0.9994121105232218
oranagra,Oran Agra,0,0,1,253,"{'Madelyn Olson', 'Yossi Gottlieb'}",2,1,3,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
yossigo,Yossi Gottlieb,0,0,1,5,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
yossigo,Yossi Gottlieb,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
oranagra,Oran Agra,0,0,4,82,{'Yossi Gottlieb'},1,1,2,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
huangzhw,Huang Zhw,0,7,1,23,"{'Viktor Söderqvist', 'Oran Agra'}",0,0,1,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
oranagra,Oran Agra,0,0,3,14,"{'Unknown', 'Yossi Gottlieb'}",1,0,2,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,1,1,251,{'Yossi Gottlieb'},2,0,3,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
enjoy-binbin,Binbin,0,1,2,6,{'Madelyn Olson'},0,0,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
oranagra,Oran Agra,0,0,2,18,"{'Madelyn Olson', 'Yossi Gottlieb'}",0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
Super-long,ZhaolongLi,1,7,1,26,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
enjoy-binbin,Binbin,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
enjoy-binbin,Binbin,0,0,1,6,{'Oran Agra'},1,0,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
x77a1,gourav,0,0,1,2,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,5,3353,4.01,4.0,0,1,0.49875311720698257
enjoy-binbin,Binbin,0,2,1,16,"{'Binbin', 'Oran Agra'}",0,2,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
leibale,Leibale Eidelman,13,0,2,20,"{'Unknown', 'Yossi Gottlieb', 'Itamar Haber', 'Oran Agra'}",4,2,5,50279,4511,0.6185697153316922,186,8,2679,22.009999999999998,1.0,0,0,0.636074511585643
enjoy-binbin,Binbin,0,0,1,2,{'Oran Agra'},1,0,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
ushachar,Uri Shachar,1,0,9,89,"{'Madelyn Olson', 'Uri Shachar'}",2,10,3,50279,4511,0.6185697153316922,186,2,2480,2.01,2.0,0,0,0.9950248756218907
Super-long,ZhaolongLi,0,1,1,4,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
enjoy-binbin,Binbin,0,1,2,10,{'Oran Agra'},4,3,5,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
Super-long,ZhaolongLi,0,1,1,3,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
Super-long,ZhaolongLi,0,44,1,6,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
Super-long,ZhaolongLi,0,0,1,1,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
enjoy-binbin,Binbin,0,3,1,4,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
ChyuWei,fishsalter,4,0,1,3,"{'Madelyn Olson', 'Viktor Söderqvist'}",0,0,1,50279,4511,0.6185697153316922,186,7,2193,2.01,1.0,0,0,0.9950248756218907
yangbodong22011,Yang Bodong,0,0,1,6,"{'Oran Agra', 'Yang Bodong'}",0,2,1,50279,4511,0.6185697153316922,186,78,2219,5.01,1.0,0,0,0.5988023952095809
Super-long,ZhaolongLi,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,37,950,29.009999999999998,24.0,0,1,0.31023784901758017
huangzhw,Huang Zhw,2,0,2,27,"{'Unknown', 'Huang Zhw', 'Oran Agra'}",3,8,4,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
huangzhw,Huang Zhw,1,0,1,2,"{'Unknown', 'Oran Agra'}",0,0,1,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
oranagra,Oran Agra,0,0,1,4,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
hwware,Wen Hui,0,0,1,5,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,13,770,11.01,10.0,0,1,0.6357856494096277
hwware,Wen Hui,0,1,1,2,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,13,770,11.01,10.0,0,1,0.6357856494096277
yossigo,Yossi Gottlieb,13,6,8,154,"{'Binbin', 'Madelyn Olson', 'Oran Agra'}",4,4,5,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
yossigo,Yossi Gottlieb,7,0,66,3034,"{'Unknown', 'Yossi Gottlieb', 'Oran Agra'}",9,29,53,50279,4511,0.6185697153316922,186,65,3438,13.01,7.0,1,0,0.8455034588777863
enjoy-binbin,Binbin,10,0,2,227,"{'Madelyn Olson', 'Oran Agra', 'Yossi Gottlieb'}",4,4,5,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
huangzhw,Huang Zhw,54,0,3,36,"{'Unknown', 'Huang Zhw', 'Oran Agra', 'Madelyn Olson', 'Yossi Gottlieb'}",8,30,9,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
sazzad16,M Sazzadul Hoque,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,12,2630,58.01,0.0,0,0,0.8446819513876918
sazzad16,M Sazzadul Hoque,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,12,2630,58.01,0.0,0,0,0.8446819513876918
oranagra,Oran Agra,0,0,5,41,"{'Yossi Gottlieb', 'Itamar Haber'}",0,1,4,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,23,431,"{'Yossi Gottlieb', 'Itamar Haber'}",0,1,11,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
enjoy-binbin,Binbin,10,2,2,43,"{'Madelyn Olson', 'Unknown', 'Oran Agra'}",2,3,3,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
enjoy-binbin,Binbin,20,0,1,4,"{'Binbin', 'Madelyn Olson', 'Unknown', 'Huang Zhw'}",0,4,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
oranagra,Oran Agra,0,0,1,18,{'Yossi Gottlieb'},1,0,2,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,1,4,"{'Madelyn Olson', 'Viktor Söderqvist', 'Unknown'}",0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
hwware,Wen Hui,8,16,1,2,"{'Madelyn Olson', 'Oran Agra', 'Yossi Gottlieb'}",0,0,1,50279,4511,0.6185697153316922,186,13,770,11.01,10.0,0,1,0.6357856494096277
chenyang8094,chenyang8094,9,9,19,1347,"{'zhaozhao.zz', 'Oran Agra', 'Yossi Gottlieb', 'chenyang8094'}",0,10,1,50279,4511,0.6185697153316922,186,16,2182,9.01,5.0,0,1,0.7769145394006659
oranagra,Oran Agra,0,10,1,10,{'Yossi Gottlieb'},1,0,2,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
hwware,Wen Hui,0,0,1,4,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,13,770,11.01,10.0,0,1,0.6357856494096277
huangzhw,Huang Zhw,12,2,1,41,"{'Viktor Söderqvist', 'Yossi Gottlieb', 'Huang Zhw'}",0,2,5,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
jhelbaum,Jason Elbaum,2,20,2,52,"{'Madelyn Olson', 'Oran Agra', 'Yossi Gottlieb', 'Jason Elbaum'}",1,3,2,50279,4511,0.6185697153316922,186,0,1367,1.01,1.0,0,0,0.9900990099009901
sambo770,Sam Bortman,20,4,2,66,"{'Madelyn Olson', 'Oran Agra', 'Yossi Gottlieb'}",5,3,6,50279,4511,0.6185697153316922,186,0,2138,1.01,1.0,0,0,0.9900990099009901
enjoy-binbin,Binbin,12,1,1,3,"{'Oran Agra', 'Yang Bodong'}",0,3,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
ShooterIT,Wang Yuan,2,5,4,31,"{'Oran Agra', 'Wang Yuan'}",1,7,2,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
ShooterIT,Wang Yuan,0,0,1,2,"{'Oran Agra', 'Wang Yuan'}",1,3,1,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
enjoy-binbin,Binbin,10,0,1,25,"{'Binbin', 'Oran Agra'}",1,3,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
ShooterIT,Wang Yuan,19,0,5,77,"{'Oran Agra', 'Unknown', 'Wang Yuan'}",4,10,6,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
ShooterIT,Wang Yuan,0,0,3,19,"{'Oran Agra', 'Wang Yuan'}",1,9,2,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
oranagra,Oran Agra,0,0,1,7,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
huangzhw,Huang Zhw,0,0,1,2,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
oranagra,Oran Agra,0,0,1,2,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
OhBonsai,Bonsai,0,0,1,1,"{'Huang Zhw', 'Yossi Gottlieb'}",0,0,1,50279,4511,0.6185697153316922,186,36,1924,1.01,1.0,0,1,0.9900990099009901
oranagra,Oran Agra,0,0,1,2,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
hwware,Wen Hui,5,0,1,6,"{'Oran Agra', 'Wen Hui'}",1,2,2,50279,4511,0.6185697153316922,186,13,770,11.01,10.0,0,1,0.6357856494096277
enjoy-binbin,Binbin,0,2,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
patpatbear,patpatbear,0,0,1,1,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,9,2416,2.01,1.0,0,1,0.49751243781094534
huangzhw,Huang Zhw,1,17,1,7,"{'Oran Agra', 'Danni Moiseyev'}",0,0,1,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
gkorland,Guy Korland,4,0,1,22,"{'Unknown', 'Yossi Gottlieb'}",0,0,1,50279,4511,0.6185697153316922,186,82,3745,50.01,0.0,0,1,0.8598280343931214
oranagra,Oran Agra,5,0,2,108,"{'Viktor Söderqvist', 'Yossi Gottlieb', 'Huang Zhw'}",0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
madolson,Madelyn Olson,0,0,3,70,{'Oran Agra'},1,1,2,50279,4511,0.6185697153316922,186,51,1324,30.009999999999998,25.0,1,0,0.4665111629456848
oranagra,Oran Agra,6,0,4,47,"{'zhaozhao.zz', 'Madelyn Olson'}",0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,1,2,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,1,22,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
j2kun,Jeremy Kun,18,13,1,2,"{'Oran Agra', 'Unknown'}",0,0,1,50279,4511,0.6185697153316922,186,2288,3221,31.009999999999998,1.0,0,0,0.9996775233795551
enjoy-binbin,Binbin,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
lxl-renren,pgxiaolianzi,0,26,4,44,{'Madelyn Olson'},0,0,1,50279,4511,0.6185697153316922,186,0,635,1.01,1.0,0,0,0.9900990099009901
ShooterIT,Wang Yuan,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,43,1936,38.01,6.0,0,1,0.6577216521967904
oranagra,Oran Agra,0,0,1,7,"{'Unknown', 'Yossi Gottlieb'}",1,1,2,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
enjoy-binbin,Binbin,4,0,2,18,"{'Binbin', 'Viktor Söderqvist', 'Unknown', 'Oran Agra'}",0,3,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
