pr_author_reviewer_race,pr_author_race,pr_reviewer_race,pr_notice_time,pr_review_time,pr_changed_files,pr_LOC,pr_review_commits,pr_review_comments,pr_commits,pr_same_ethnicity,repo_id,repo_stars,repo_create_time,repo_external_contribution,repo_team_size,user_followers,user_dev_time,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
White-White,White,White,0.6931471805599453,0.0,0.6931471805599453,1.791759469228055,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,0.0,0.0,0.0,0.6931471805599453,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,5.262690188904886,10.994520547945205,14.01,14.0,0,0,0.92790863668808
White-White,White,White,0.6931471805599453,1.6094379124341003,0.0,1.3862943611198906,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,0.0,1.0986122886681098,0.0,3.5263605246161616,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,0.0,0.0,2.0794415416798357,2.70805020110221,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,0.0,0.0,0.6931471805599453,2.5649493574615367,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,3.2188758248682006,0.0,0.6931471805599453,2.4849066497880004,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,3.091042453358316,4.04305126783455,2.1972245773362196,5.8377304471659395,0,1,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,5.676753802268282,11.783561643835617,18.009999999999998,6.0,0,1,0.7773459189339257
White-White,White,White,0.0,2.995732273553991,0.0,2.833213344056216,0,0,3,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
White-White,White,White,0.0,0.6931471805599453,0.0,2.4849066497880004,0,0,1,1,1,10.981488887300113,9.265753424657534,0.7351303185564714,4.6443908991413725,6.061456918928017,8.693150684931506,34.01,29.0,1,1,0.7350779182593355
